2024-08-07 17:27:44 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1148467099
2024-08-07 17:30:11 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1148467099
2024-08-07 17:31:16 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1148467099
2024-08-07 17:31:23 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 17:33:59 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1148467099
2024-08-07 17:34:50 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:34:52 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:35:13 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:35:43 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:36:05 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:36:15 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 17:36:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:36:32 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:36:51 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 17:36:59 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:37:00 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:37:03 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:37:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:37:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:38:02 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 17:38:15 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-08-07 17:38:18 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1196376478
2024-08-07 17:39:11 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1148467099
2024-08-07 17:42:26 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1379016220
2024-08-07 17:42:29 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1379016220
2024-08-07 17:42:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:41 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:43 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:45 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:42:50 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:09 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:15 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:19 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:20 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:21 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:44 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:43:47 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:02 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 17:44:09 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:10 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:14 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:22 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:47 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:44:54 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:45:29 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:45:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:45:56 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:01 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:14 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:30 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:34 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 5841323814
2024-08-07 17:46:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:38 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 17:46:41 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:46:54 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:47:01 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:47:12 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:47:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:48:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
